QUESTION_NO,CORRECTNESS,CATEGORY,MAJOR_AREA,SUB_AREA,SOURCE,STUDY_DATE
1,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q51.html"",""平成27年秋期 問51"")",2025-07-16
2,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q10.html"",""平成27年秋期 問10"")",2025-07-16
3,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q8.html"",""平成27年秋期 問8"")",2025-07-16
4,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q38.html"",""平成27年秋期 問38"")",2025-07-16
5,×,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q73.html"",""平成27年秋期 問73"")",2025-07-16
6,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q18.html"",""平成27年秋期 問18"")",2025-07-16
7,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q21.html"",""平成27年秋期 問21"")",2025-07-16
8,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q66.html"",""平成27年秋期 問66"")",2025-07-16
9,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q27.html"",""平成27年秋期 問27"")",2025-07-16
10,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q49.html"",""平成27年秋期 問49"")",2025-07-16
11,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q32.html"",""平成27年秋期 問32"")",2025-07-16
12,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q64.html"",""平成27年秋期 問64"")",2025-07-16
13,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q5.html"",""平成27年秋期 問5"")",2025-07-16
14,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q9.html"",""平成27年秋期 問9"")",2025-07-16
15,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q42.html"",""平成27年秋期 問42"")",2025-07-16
16,○,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q71.html"",""平成27年秋期 問71"")",2025-07-16
17,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q54.html"",""平成27年秋期 問54"")",2025-07-16
18,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q78.html"",""平成27年秋期 問78"")",2025-07-16
19,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q33.html"",""平成27年秋期 問33"")",2025-07-16
20,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q63.html"",""平成27年秋期 問63"")",2025-07-16
21,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.fe-siken.com/kakomon/27_aki/q46.html"",""平成27年秋期 問46"")",2025-07-16
